2025-11-25 19:59:40,715 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:59:49,167 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 19:59:49,236 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 19:59:57,649 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 20:00:06,084 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 20:00:06,155 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 20:00:14,962 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 20:00:23,386 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 20:00:23,457 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 20:00:31,902 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 20:00:40,639 | ERROR | okx_data.streams | 获取合约乘数失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/instruments?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
2025-11-25 20:00:40,722 | ERROR | okx_data.streams | 调用订单簿API异常: EOF occurred in violation of protocol (_ssl.c:1002)
2025-11-25 20:00:49,189 | ERROR | okx_data.streams | 获取持仓量失败: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/public/open-interest?instType=SWAP&instId=BTC-USDT-SWAP (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1002)')))
